Epoch:0 	 raf Acc: 61.41% (97.52%) 
Epoch:1 	 raf Acc: 66.72% (98.01%) 
Epoch:2 	 raf Acc: 69.62% (97.62%) 
Epoch:3 	 raf Acc: 73.21% (98.01%) 
Epoch:4 	 raf Acc: 71.97% (98.04%) 
Epoch:5 	 raf Acc: 76.04% (98.60%) 
Epoch:6 	 raf Acc: 72.78% (98.53%) 
Epoch:7 	 raf Acc: 73.73% (98.79%) 
Epoch:8 	 raf Acc: 76.53% (98.34%) 
Epoch:9 	 raf Acc: 75.98% (98.17%) 
Epoch:10 	 raf Acc: 76.89% (98.47%) 
Epoch:11 	 raf Acc: 78.81% (98.63%) 
Epoch:12 	 raf Acc: 76.40% (98.89%) 
Epoch:13 	 raf Acc: 69.00% (98.73%) 
Epoch:14 	 raf Acc: 78.13% (99.28%) 
Epoch:15 	 raf Acc: 76.27% (99.05%) 
Epoch:16 	 raf Acc: 78.16% (98.99%) 
Epoch:17 	 raf Acc: 77.25% (99.12%) 
Epoch:18 	 raf Acc: 79.27% (99.19%) 
Epoch:19 	 raf Acc: 78.85% (98.96%) 
Epoch:20 	 raf Acc: 79.82% (98.83%) 
Epoch:21 	 raf Acc: 80.28% (99.15%) 
Epoch:22 	 raf Acc: 80.57% (99.19%) 
Epoch:23 	 raf Acc: 80.44% (99.05%) 
Epoch:24 	 raf Acc: 81.42% (99.25%) 
Epoch:25 	 raf Acc: 81.62% (99.12%) 
Epoch:26 	 raf Acc: 80.87% (99.15%) 
Epoch:27 	 raf Acc: 81.49% (99.05%) 
Epoch:28 	 raf Acc: 81.65% (99.12%) 
Epoch:29 	 raf Acc: 80.74% (99.02%) 
Epoch:30 	 raf Acc: 81.00% (99.15%) 
Epoch:31 	 raf Acc: 81.78% (99.32%) 
Epoch:32 	 raf Acc: 82.63% (99.15%) 
Epoch:33 	 raf Acc: 81.68% (99.19%) 
Epoch:34 	 raf Acc: 81.94% (98.70%) 
Epoch:35 	 raf Acc: 82.14% (99.15%) 
Epoch:36 	 raf Acc: 82.43% (99.28%) 
Epoch:37 	 raf Acc: 81.36% (99.32%) 
Epoch:38 	 raf Acc: 81.23% (99.12%) 
Epoch:39 	 raf Acc: 80.44% (99.09%) 
Epoch:40 	 raf Acc: 82.33% (99.25%) 
Epoch:41 	 raf Acc: 82.30% (99.22%) 
